Statistic,Alignment Error,Accompaniment Error
count,36.0,36.0
mean,-0.4588158925374349,-1.3596126125733885
std,0.828729809427859,1.4050945575144478
min,-3.2816333770751953,-3.568859814770093
25%,-0.5723361968994141,-2.50870291126229
50%,-0.11700439453125,-1.1883895404511424
75%,-0.021039724349975576,-0.051071582103784346
max,0.38421630859375,0.6338906611799189
mean_absolute_error,0.502917554643419,1.4724217161249877
