measure,ref,live
1,0,0
2,4,3.9
3,8,8.15
4,12,12.01
5,16,16
6,20,20.11
7,24,24.05
8,28,28.2
9,32,32.12
10,36,36.08
11,40,39.75
12,44,43.93
13,48,48.1
14,52,51.95
15,56,56.01
16,60,60.15
17,64,64.04
18,68,67.55
19,72,71.85
20,76,76.1
21,80,80.21
22,84,84.1
23,88,87.8
24,92,91.68
25,96,95.96
26,100,100.01
27,104,104.05
28,108,108.04
29,112,112.05
30,116,115.7
31,120,120.01
32,124,124.09
33,128,127.83
34,132,131.94
35,136,135.9
36,140,140.12
