beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,B3,no,59,3.96,3.96
1.0,1.0,A3,no,57,4.55,4.55
2.0,1.0,G3,no,55,5.1,5.1
3.0,1.0,F#3,no,54,5.685,5.685
4.0,0.5,E3,no,52,6.24,6.24
4.5,0.5,G3,no,55,6.53,6.53
5.0,0.5,F#3,no,54,6.805,6.805
5.5,0.5,A3,no,57,7.07,7.07
6.0,1.0,G3,no,55,7.34,7.34
