Soloist time: 10.22, Estimated time: 9.47, Accompanist time: 9.78, Playback rate: 0.77, Fuzzy membership: positive_small
Soloist time: 10.40, Estimated time: 9.47, Accompanist time: 9.92, Playback rate: 0.74, Fuzzy membership: positive_large
Soloist time: 10.59, Estimated time: 9.47, Accompanist time: 10.05, Playback rate: 0.70, Fuzzy membership: positive_large
Soloist time: 10.77, Estimated time: 10.03, Accompanist time: 10.19, Playback rate: 0.74, Fuzzy membership: positive_small
Soloist time: 10.96, Estimated time: 10.03, Accompanist time: 10.32, Playback rate: 0.74, Fuzzy membership: positive_small
Soloist time: 11.15, Estimated time: 10.03, Accompanist time: 10.46, Playback rate: 0.74, Fuzzy membership: positive_large
Soloist time: 11.33, Estimated time: 10.03, Accompanist time: 10.59, Playback rate: 0.69, Fuzzy membership: positive_large
Soloist time: 11.52, Estimated time: 10.03, Accompanist time: 10.69, Playback rate: 0.53, Fuzzy membership: positive_large
Soloist time: 11.70, Estimated time: 10.03, Accompanist time: 10.77, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 11.89, Estimated time: 10.22, Accompanist time: 10.86, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 12.07, Estimated time: 10.40, Accompanist time: 10.95, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 12.26, Estimated time: 11.70, Accompanist time: 11.11, Playback rate: 0.88, Fuzzy membership: negative_large
Soloist time: 12.45, Estimated time: 11.89, Accompanist time: 11.36, Playback rate: 1.36, Fuzzy membership: negative_large
Soloist time: 12.63, Estimated time: 12.07, Accompanist time: 11.66, Playback rate: 1.58, Fuzzy membership: negative_large
Soloist time: 12.82, Estimated time: 12.26, Accompanist time: 11.95, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 13.00, Estimated time: 12.45, Accompanist time: 12.25, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 13.19, Estimated time: 12.63, Accompanist time: 12.54, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 13.37, Estimated time: 12.63, Accompanist time: 12.82, Playback rate: 1.51, Fuzzy membership: positive_small
Soloist time: 13.56, Estimated time: 12.63, Accompanist time: 13.05, Playback rate: 1.23, Fuzzy membership: positive_large
Soloist time: 13.75, Estimated time: 12.63, Accompanist time: 13.19, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 13.93, Estimated time: 12.82, Accompanist time: 13.33, Playback rate: 0.74, Fuzzy membership: positive_large
Soloist time: 14.12, Estimated time: 13.00, Accompanist time: 13.45, Playback rate: 0.66, Fuzzy membership: positive_large
Soloist time: 14.30, Estimated time: 13.19, Accompanist time: 13.57, Playback rate: 0.63, Fuzzy membership: positive_small
Soloist time: 14.49, Estimated time: 13.75, Accompanist time: 13.70, Playback rate: 0.74, Fuzzy membership: zero
Soloist time: 14.68, Estimated time: 13.93, Accompanist time: 13.86, Playback rate: 0.87, Fuzzy membership: negative_small
Soloist time: 14.86, Estimated time: 14.12, Accompanist time: 14.09, Playback rate: 1.23, Fuzzy membership: zero
Soloist time: 15.05, Estimated time: 14.30, Accompanist time: 14.32, Playback rate: 1.23, Fuzzy membership: zero
Soloist time: 15.23, Estimated time: 14.49, Accompanist time: 14.55, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 15.42, Estimated time: 14.86, Accompanist time: 14.78, Playback rate: 1.24, Fuzzy membership: negative_small
Soloist time: 15.60, Estimated time: 15.05, Accompanist time: 15.01, Playback rate: 1.25, Fuzzy membership: zero
Soloist time: 15.79, Estimated time: 15.23, Accompanist time: 15.24, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 15.98, Estimated time: 15.42, Accompanist time: 15.47, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 16.16, Estimated time: 15.60, Accompanist time: 15.70, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 16.35, Estimated time: 15.79, Accompanist time: 15.93, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 16.53, Estimated time: 15.98, Accompanist time: 16.16, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 16.72, Estimated time: 16.16, Accompanist time: 16.37, Playback rate: 1.13, Fuzzy membership: positive_small
Soloist time: 16.90, Estimated time: 16.35, Accompanist time: 16.55, Playback rate: 0.98, Fuzzy membership: positive_small
Soloist time: 17.09, Estimated time: 16.53, Accompanist time: 16.72, Playback rate: 0.89, Fuzzy membership: positive_small
Soloist time: 17.28, Estimated time: 16.53, Accompanist time: 16.86, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 17.46, Estimated time: 16.72, Accompanist time: 16.99, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 17.65, Estimated time: 16.90, Accompanist time: 17.13, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 17.83, Estimated time: 17.09, Accompanist time: 17.26, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 18.02, Estimated time: 17.28, Accompanist time: 17.41, Playback rate: 0.80, Fuzzy membership: positive_small
Soloist time: 18.20, Estimated time: 17.28, Accompanist time: 17.55, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 18.39, Estimated time: 17.46, Accompanist time: 17.68, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 18.58, Estimated time: 17.46, Accompanist time: 17.82, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 18.76, Estimated time: 17.46, Accompanist time: 17.96, Playback rate: 0.74, Fuzzy membership: positive_large
Soloist time: 18.95, Estimated time: 17.65, Accompanist time: 18.10, Playback rate: 0.74, Fuzzy membership: positive_large
Soloist time: 19.13, Estimated time: 18.58, Accompanist time: 18.29, Playback rate: 1.04, Fuzzy membership: negative_small
